timestamp,CO2,DO,PM2dot5,Temp,Humidity
1726694289,899,67,44,20,69
1726694349,360,68,92,25,46
1726694409,660,91,111,27,68
1726694469,378,36,59,33,45
1726694529,778,74,42,35,49
1726694589,806,12,83,26,31
1726694649,827,3,131,29,45
1726694709,627,54,12,36,67
1726694769,534,21,95,24,64
1726694829,651,64,80,20,31
1726694889,448,21,67,40,31
1726694949,323,37,121,39,45
1726695009,905,98,104,36,70
1726695069,965,41,45,26,69
1726695129,986,84,117,22,67
1726695189,403,70,107,36,41
1726695249,804,26,85,23,44
1726695309,523,57,133,28,59
1726695369,336,41,93,24,49
1726695429,572,17,21,38,61
1726695489,383,83,85,26,60
1726695549,850,5,138,34,62
1726695609,794,64,140,35,61
1726695669,336,36,71,23,55
1726695729,505,54,97,38,49
1726695789,475,53,76,25,37
1726695849,857,59,107,39,58
1726695909,419,95,80,30,30
1726695969,395,19,147,27,40
1726696029,665,83,130,28,33
1726696089,669,93,85,37,41
1726696149,873,60,85,22,30
1726696209,783,46,125,31,48
1726696269,471,100,105,31,69
1726696329,342,70,102,38,65
1726696389,834,40,135,30,59
1726696449,477,25,9,27,59
1726696509,862,42,77,29,70
1726696569,897,35,113,22,55
1726696629,884,25,149,33,59
1726696689,727,73,89,24,42
1726696749,575,21,35,37,68
1726696809,642,57,53,34,46
1726696869,373,57,75,27,48
1726696929,621,15,90,33,64
1726696989,655,99,134,24,33
1726697049,730,0,113,31,47
1726697109,427,76,6,28,36
1726697169,816,85,94,40,68
1726697229,874,82,94,33,34
1726697289,887,46,114,24,39
1726697349,883,50,147,34,37
1726697409,493,6,56,36,59
1726697469,777,12,132,36,52
1726697529,961,20,34,37,57
1726697589,607,49,108,31,58
1726697649,812,80,128,25,57
1726697709,479,99,46,39,39
1726697769,569,3,69,39,70
1726697829,369,50,98,31,31
1726697889,961,45,6,28,32
1726697949,337,92,31,33,42
1726698009,947,47,43,24,30
1726698069,545,16,13,36,53
1726698129,590,23,0,40,70
1726698189,436,77,24,35,59
1726698249,441,45,4,29,47
1726698309,831,62,0,22,66
1726698369,426,8,47,37,65
1726698429,728,61,53,32,34
1726698489,331,36,150,33,35
1726698549,335,82,83,21,45
1726698609,791,93,132,39,53
1726698669,387,37,61,38,54
1726698729,850,24,144,35,54
1726698789,482,83,2,39,49
1726698849,959,52,118,26,58
1726698909,601,68,71,34,38
1726698969,591,81,14,39,65
1726699029,959,51,17,37,40
1726699089,565,37,27,24,60
1726699149,936,80,48,22,41
1726699209,465,22,133,27,47
1726699269,845,19,98,36,55
1726699329,614,17,32,39,33
1726699389,542,46,147,30,53
1726699449,405,21,50,40,39
1726699509,889,55,135,36,56
1726699569,642,69,61,26,56
1726699629,770,9,144,25,47
1726699689,549,12,45,36,54
1726699749,619,3,1,21,40
1726699809,721,95,139,29,32
1726699869,960,26,99,32,40
1726699929,574,57,137,25,38
1726699989,473,45,150,37,61
1726700049,526,54,142,21,50
1726700109,356,43,150,21,59
1726700169,644,84,41,38,45
1726700229,555,65,150,29,49
1726700289,514,1,104,23,66
1726700349,675,45,102,32,59
1726700409,887,15,36,34,42
1726700469,329,89,48,33,46
1726700529,376,62,75,25,58
1726700589,449,66,132,36,58
1726700649,391,58,120,27,61
1726700709,739,85,116,31,33
1726700769,836,27,70,23,53
1726700829,534,64,21,36,62
1726700889,545,38,134,20,50
1726700949,727,69,110,40,68
1726701009,305,23,20,22,53
1726701069,664,7,134,28,44
1726701129,765,58,144,28,59
1726701189,614,30,131,22,54
1726701249,524,76,82,40,48
1726701309,705,20,141,33,54
1726701369,930,72,17,21,56
1726701429,455,27,135,23,57
1726701489,914,36,134,28,43
1726701549,652,59,58,40,44
1726701609,645,25,46,33,32
1726701669,785,6,66,39,54
1726701729,638,3,31,23,38
1726701789,871,91,115,26,63
1726701849,954,27,62,31,36
1726701909,834,29,95,27,35
1726701969,424,87,42,35,56
1726702029,359,77,37,36,53
1726702089,439,88,6,29,39
1726702149,875,14,29,30,37
1726702209,568,23,25,20,49
1726702269,862,52,58,36,60
1726702329,497,64,92,20,56
1726702389,620,59,69,23,70
1726702449,699,46,52,27,59
1726702509,779,88,40,24,60
1726702569,385,59,22,35,30
1726702629,881,9,125,40,45
1726702689,898,0,142,25,50
1726702749,421,90,49,37,63
1726702809,743,96,77,31,33
1726702869,384,23,92,22,40
1726702929,339,11,43,26,61
1726702989,619,14,57,30,34
1726703049,645,84,89,22,66
1726703109,986,75,83,25,55
1726703169,351,65,8,22,46
1726703229,455,33,96,30,38
1726703289,587,58,4,24,48
1726703349,953,11,24,29,57
1726703409,734,92,132,36,66
1726703469,465,46,110,21,37
1726703529,955,52,87,30,38
1726703589,447,57,116,27,50
1726703649,913,28,84,34,68
1726703709,397,28,9,23,49
1726703769,433,61,124,37,32
1726703829,548,57,39,24,39
1726703889,586,19,80,22,52
1726703949,990,45,85,22,32
1726704009,950,43,130,37,44
1726704069,648,13,131,26,70
1726704129,682,80,86,32,46
1726704189,868,44,6,28,41
1726704249,314,90,54,37,66
1726704309,611,90,28,31,66
1726704369,810,97,126,23,36
1726704429,378,52,14,36,49
1726704489,916,82,120,22,46
1726704549,671,92,109,31,48
1726704609,724,86,91,34,41
1726704669,664,28,94,33,36
1726704729,501,86,55,30,49
1726704789,574,76,105,23,41
1726704849,792,6,65,34,33
1726704909,423,68,111,24,51
1726704969,856,13,146,37,68
1726705029,859,96,146,34,40
1726705089,476,71,100,34,36
1726705149,551,1,84,35,38
1726705209,754,31,16,37,54
1726705269,577,79,81,23,55
1726705329,757,58,58,35,52
1726705389,411,65,133,39,60
1726705449,544,49,35,40,30
1726705509,578,18,102,24,67
1726705569,998,86,25,26,61
1726705629,561,71,89,21,66
1726705689,451,32,113,22,32
1726705749,887,55,87,24,55
1726705809,346,47,110,33,58
1726705869,414,69,142,30,64
1726705929,642,82,71,26,41
1726705989,901,47,19,30,46
1726706049,409,53,80,31,48
1726706109,766,9,58,28,64
1726706169,937,54,57,25,38
1726706229,573,52,122,32,59
1726706289,912,41,2,40,53
1726706349,728,100,115,36,52
1726706409,995,9,18,36,52
1726706469,968,39,142,39,50
1726706529,470,77,62,20,34
1726706589,934,11,5,39,64
1726706649,505,68,3,29,68
1726706709,943,14,108,25,32
1726706769,365,61,13,29,46
1726706829,661,80,77,24,63
1726706889,654,100,126,35,30
1726706949,308,38,100,27,33
1726707009,931,50,141,36,62
1726707069,570,73,88,24,61
1726707129,674,41,90,32,51
1726707189,549,44,133,24,56
1726707249,772,22,121,39,54
1726707309,600,99,99,36,63
1726707369,567,28,86,37,68
1726707429,625,53,77,38,38
1726707489,441,14,150,25,40
1726707549,620,20,47,39,65
1726707609,808,96,28,30,50
1726707669,851,82,60,31,47
1726707729,302,45,60,40,33
1726707789,751,80,0,22,62
1726707849,656,59,146,22,36
1726707909,335,76,76,29,51
1726707969,953,48,44,21,59
1726708029,899,6,149,31,59
1726708089,676,84,82,30,54
1726708149,740,37,4,24,42
1726708209,950,45,146,31,56
1726708269,950,62,39,23,62
1726708329,867,82,109,22,64
1726708389,327,33,51,39,31
1726708449,891,7,44,38,65
1726708509,318,80,130,37,44
1726708569,671,48,110,31,58
1726708629,831,12,81,29,63
1726708689,443,41,38,28,41
1726708749,458,38,128,34,53
1726708809,521,75,82,38,46
1726708869,676,42,121,29,60
1726708929,643,90,71,37,58
1726708989,301,32,11,33,49
1726709049,588,36,77,37,33
1726709109,810,74,20,40,46
1726709169,826,65,132,37,30
1726709229,823,66,149,25,37
1726709289,732,76,73,25,46
1726709349,400,83,150,24,66
1726709409,529,40,37,27,31
1726709469,899,85,25,22,63
1726709529,864,27,2,37,35
1726709589,601,56,15,32,52
1726709649,486,70,45,40,56
1726709709,436,69,146,32,45
1726709769,527,50,24,22,56
1726709829,561,37,123,39,53
1726709889,319,90,13,27,69
1726709949,716,10,23,23,42
1726710009,593,22,77,36,31
1726710069,837,22,56,30,38
1726710129,833,56,43,31,54
1726710189,396,73,127,29,31
1726710249,705,94,62,29,65
1726710309,745,85,16,31,36
1726710369,859,40,117,20,69
1726710429,417,81,138,35,38
1726710489,349,73,10,21,58
1726710549,654,12,62,32,52
1726710609,421,72,32,39,41
1726710669,980,12,43,40,34
1726710729,468,62,102,28,61
1726710789,705,17,77,37,57
1726710849,330,93,101,40,60
